,start,end,from_cty,to_cty,from_country,from_country_code,to_country,to_country_code,value,source,target,color,label,from_country_latlng,to_country_latlng,from_country_cca3,to_country_cca3
11394,09:00,10:00,Moldova (MD),Ukraine (UA),Moldova ,MD,Ukraine ,UA,0.0,41,17,"rgba(127, 127, 127, 0.8)",,"[47, 29]","[49, 32]",MDA,UKR
11395,09:00,10:00,Ukraine (UA),Moldova (MD),Ukraine ,UA,Moldova ,MD,36.0,17,41,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 29]",UKR,MDA
11396,10:00,11:00,Moldova (MD),Ukraine (UA),Moldova ,MD,Ukraine ,UA,42.0,41,17,"rgba(127, 127, 127, 0.8)",,"[47, 29]","[49, 32]",MDA,UKR
11397,10:00,11:00,Ukraine (UA),Moldova (MD),Ukraine ,UA,Moldova ,MD,0.0,17,41,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 29]",UKR,MDA
11398,11:00,12:00,Moldova (MD),Ukraine (UA),Moldova ,MD,Ukraine ,UA,0.0,41,17,"rgba(127, 127, 127, 0.8)",,"[47, 29]","[49, 32]",MDA,UKR
11399,11:00,12:00,Ukraine (UA),Moldova (MD),Ukraine ,UA,Moldova ,MD,18.0,17,41,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 29]",UKR,MDA
11400,12:00,13:00,Moldova (MD),Ukraine (UA),Moldova ,MD,Ukraine ,UA,0.0,41,17,"rgba(127, 127, 127, 0.8)",,"[47, 29]","[49, 32]",MDA,UKR
11401,12:00,13:00,Ukraine (UA),Moldova (MD),Ukraine ,UA,Moldova ,MD,20.0,17,41,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 29]",UKR,MDA
11402,13:00,14:00,Moldova (MD),Ukraine (UA),Moldova ,MD,Ukraine ,UA,84.0,41,17,"rgba(127, 127, 127, 0.8)",,"[47, 29]","[49, 32]",MDA,UKR
11403,13:00,14:00,Ukraine (UA),Moldova (MD),Ukraine ,UA,Moldova ,MD,0.0,17,41,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 29]",UKR,MDA
11404,14:00,15:00,Moldova (MD),Ukraine (UA),Moldova ,MD,Ukraine ,UA,37.0,41,17,"rgba(127, 127, 127, 0.8)",,"[47, 29]","[49, 32]",MDA,UKR
11405,14:00,15:00,Ukraine (UA),Moldova (MD),Ukraine ,UA,Moldova ,MD,0.0,17,41,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 29]",UKR,MDA
11406,15:00,16:00,Moldova (MD),Ukraine (UA),Moldova ,MD,Ukraine ,UA,56.0,41,17,"rgba(127, 127, 127, 0.8)",,"[47, 29]","[49, 32]",MDA,UKR
11407,15:00,16:00,Ukraine (UA),Moldova (MD),Ukraine ,UA,Moldova ,MD,0.0,17,41,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 29]",UKR,MDA
11408,16:00,17:00,Moldova (MD),Ukraine (UA),Moldova ,MD,Ukraine ,UA,0.0,41,17,"rgba(127, 127, 127, 0.8)",,"[47, 29]","[49, 32]",MDA,UKR
11409,16:00,17:00,Ukraine (UA),Moldova (MD),Ukraine ,UA,Moldova ,MD,37.0,17,41,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 29]",UKR,MDA
11410,17:00,18:00,Moldova (MD),Ukraine (UA),Moldova ,MD,Ukraine ,UA,0.0,41,17,"rgba(127, 127, 127, 0.8)",,"[47, 29]","[49, 32]",MDA,UKR
11411,17:00,18:00,Ukraine (UA),Moldova (MD),Ukraine ,UA,Moldova ,MD,22.0,17,41,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 29]",UKR,MDA
11412,18:00,19:00,Moldova (MD),Ukraine (UA),Moldova ,MD,Ukraine ,UA,0.0,41,17,"rgba(127, 127, 127, 0.8)",,"[47, 29]","[49, 32]",MDA,UKR
11413,18:00,19:00,Ukraine (UA),Moldova (MD),Ukraine ,UA,Moldova ,MD,7.0,17,41,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 29]",UKR,MDA
11414,19:00,20:00,Moldova (MD),Ukraine (UA),Moldova ,MD,Ukraine ,UA,54.0,41,17,"rgba(127, 127, 127, 0.8)",,"[47, 29]","[49, 32]",MDA,UKR
11415,19:00,20:00,Ukraine (UA),Moldova (MD),Ukraine ,UA,Moldova ,MD,0.0,17,41,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 29]",UKR,MDA
11416,20:00,21:00,Moldova (MD),Ukraine (UA),Moldova ,MD,Ukraine ,UA,67.0,41,17,"rgba(127, 127, 127, 0.8)",,"[47, 29]","[49, 32]",MDA,UKR
11417,20:00,21:00,Ukraine (UA),Moldova (MD),Ukraine ,UA,Moldova ,MD,0.0,17,41,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 29]",UKR,MDA
11418,21:00,22:00,Moldova (MD),Ukraine (UA),Moldova ,MD,Ukraine ,UA,0.0,41,17,"rgba(127, 127, 127, 0.8)",,"[47, 29]","[49, 32]",MDA,UKR
11419,21:00,22:00,Ukraine (UA),Moldova (MD),Ukraine ,UA,Moldova ,MD,38.0,17,41,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 29]",UKR,MDA
